t(min)   TckSld(°C)
0   443.7
5   443.312
10   443.028
15   442.747
20   442.467
25   442.186
30   441.906
35   441.627
40   441.348
45   441.069
50   440.79
55   440.511
60   440.233
65   439.832
70   439.462
75   439.092
80   438.722
85   438.351
90   437.979
95   437.602
100   437.219
105   436.834
110   436.45
115   436.066
120   435.683
125   435.301
130   434.921
135   434.539
140   434.158
145   434.158
150   434.158
155   434.158
160   434.158
165   434.158
170   434.148
175   434.128
180   434.077
185   433.921
190   433.844
195   425.603
200   414.14
205   405.178
210   399.664
215   390.838
220   385.772
225   380.997
230   372.744
235   368.543
240   363.648
245   363.648
250   363.648
255   363.648
260   363.648
265   350.833
270   331.552
275   313.62
280   296.969
285   278.726
290   261.713
295   246.109
300   231.829
305   218.752
310   206.767
315   195.772
320   185.678
325   176.401
330   167.866
335   160.007
340   152.763
345   146.079
350   139.906
355   134.199
360   128.917
365   124.024
370   119.488
375   115.278
380   111.367
385   107.732
390   104.348
395   101.197
400   98.2599
405   94.8779
410   91.6768
415   88.7245
420   88.2213
425   88.2213
430   88.2213
435   88.2213
440   88.2213
445   88.2213
450   88.2213
455   88.2213
460   88.2213
465   88.2213
470   88.2213
475   88.2213
480   88.2213
485   88.2213
490   88.2213
495   88.2213
500   88.2213
505   88.2213
510   88.2213
515   88.2213
520   88.2213
525   88.2213
530   88.2213
535   88.2213
540   88.2213
545   88.2213
550   88.2213
555   88.2213
560   88.2213
565   88.2213
570   88.2213
575   88.2213
580   88.2213
585   88.2213
590   88.2213
595   88.2213
599   88.2213

FuncObj: 6031.89
