t(min)   TckSld(°C)
0   433.4
5   433.108
10   432.836
15   432.56
20   432.315
25   432.063
30   431.827
35   431.208
40   430.588
45   429.992
50   429.409
55   428.835
60   428.267
65   427.703
70   427.148
75   426.486
80   425.933
85   425.388
90   424.832
95   424.277
100   423.722
105   423.167
110   422.613
115   422.069
120   421.543
125   421.021
130   420.509
135   419.039
140   419.036
145   417.836
150   402.048
155   378.786
160   351.981
165   347.867
170   341.944
175   333.368
180   324.984
185   315.621
190   315.621
195   313.453
200   304.623
205   296.981
210   296.981
215   293.69
220   286.332
225   277.88
230   269.684
235   261.695
240   258.934
245   258.667
250   251.255
255   244.759
260   237.776
265   232.185
270   223.005
275   218.666
280   213.623
285   208.733
290   203.992
295   199.394
300   194.935
305   190.618
310   186.427
315   182.37
320   178.437
325   174.62
330   170.922
335   167.338
340   163.866
345   160.501
350   157.242
355   154.082
360   151.022
365   148.055
370   145.18
375   142.396
380   139.696
385   137.081
390   134.546
395   132.315
400   129.3
405   126.031
410   123.247
415   120.33
420   117.043
425   114.468
430   112.071
435   109.817
440   108.071
445   106.377
450   104.736
455   103.145
460   101.603
465   100.106
470   98.6567
475   97.251
480   95.8885
485   94.567
490   93.2853
495   92.0431
500   90.838
505   89.6695
510   88.5361
514   87.6541

FuncObj: 88.348
