t(min)   TckSld(°C)
0   420.2
5   419.732
10   419.265
15   418.733
20   418.226
25   417.696
30   417.239
35   416.838
40   416.45
45   416.073
50   415.697
55   415.302
60   414.93
65   414.546
70   414.011
75   413.47
80   412.923
85   412.374
90   411.866
95   411.373
100   410.879
105   410.403
110   409.933
115   409.455
120   408.976
125   408.511
130   408.064
135   407.626
140   407.192
145   407.192
150   405.909
155   405.909
160   405.909
165   390.005
170   373.729
175   358.985
180   344.302
185   329.814
190   318.461
195   318.461
200   318.461
205   318.461
210   318.461
215   318.458
220   318.355
225   315.978
230   308.794
235   296.589
240   287.934
245   282
250   276.106
255   270.787
260   266.438
265   262.492
270   258.62
275   255.315
280   255.315
285   255.299
290   255.299
295   255.299
300   255.299
305   255.299
310   255.298
315   255.297
320   255.292
325   255.283
330   255.261
335   255.217
340   255.137
345   254.977
350   254.725
355   254.039
360   253.092
365   248.255
370   241.299
375   234.667
380   228.31
385   222.207
390   216.355
395   210.729
400   205.337
405   200.144
410   195.171
415   190.375
420   185.782
425   181.352
430   177.1
435   172.617
440   166.796
445   163.09
450   159.639
455   156.838
460   152.102
465   148.199
470   144.891
475   141.694
480   138.616
485   135.642
490   132.776
495   130.006
500   130.006

FuncObj: 1225.02
