Iteracao FuncaoObjetivo
0 998.475
1 402.08
2 402.08
3 402.08
4 402.08
5 402.08
6 402.08
7 402.08
8 402.08
9 402.08
10 353.489
11 281.991
12 281.991
13 281.991
14 281.991
15 281.991
16 281.991
17 281.991
18 240.918
19 240.918
20 240.918
21 235.321
22 235.321
23 235.321
24 218.46
25 218.46
26 218.46
27 218.46
28 218.46
29 218.46

Função objetivo mínima: 218.46

Minimo encontrado em:
X0 3.17199
X1 6
X2 0.416507
X3 0.375527
X4 0.627605
X5 0.447246
X6 3.05178

