t(min)   TckSld(°C)
0   370.1
5   369.823
10   369.509
15   369.246
20   368.968
25   368.741
30   368.508
35   368.328
40   368.166
45   368.031
50   367.892
55   367.763
60   367.631
65   367.505
70   367.376
75   367.257
80   366.912
85   366.628
90   366.317
95   366.054
100   365.774
105   365.543
110   365.306
115   365.109
120   364.907
125   364.731
130   364.551
135   364.392
140   351.481
145   350.978
150   339.738
155   337.368
160   327.767
165   316.489
170   310.274
175   303.371
180   297.811
185   291.024
190   284.346
195   278.033
200   271.623
205   266.706
210   260.597
215   253.88
220   249.372
225   243.198
230   237.217
235   231.429
240   225.836
245   220.417
250   215.172
255   210.095
260   205.184
265   200.433
270   195.836
275   191.39
280   187.09
285   182.926
290   178.898
295   175.003
300   171.232
305   167.583
310   163.691
315   159.67
320   156.142
325   152.723
330   149.429
335   146.251
340   143.186
345   140.229
350   137.376
355   134.622
360   131.965
365   129.399
370   126.923
375   124.533
380   122.225
385   119.996
390   117.808
395   115.493
400   113.23
405   111.098
410   109.028
415   107.059
420   105.16
425   103.334
430   101.576
435   99.8836
440   98.2542
445   96.6845
450   95.1729
455   93.7162
460   92.9091
465   92.9091
470   92.9091
475   92.9091
480   92.9091
485   92.9091
490   92.9012
495   92.9012
500   92.9012

FuncObj: 50.1878
