t(min)   Tvap(°C)   TckIn(°C)   TckSld(°C)   TckOut(°C)   Mvap(t/h)   Nivel(m)   TspIn(°C)   TspSld(°C)
0   391.415   433.4   433.4   433.4   3   0   433.4   433.4   
5   388.913   431.685   433.111   433.363   3   0   417.061   426.326   
10   388.801   430.003   432.84   433.321   3   0   415.499   426.036   
15   388.699   428.333   432.564   433.279   3   0   413.949   425.781   
20   388.6   426.674   432.312   433.237   3   0   412.409   425.521   
25   388.502   425.027   432.054   433.194   3   0   410.879   425.277   
30   306.583   423.335   431.808   433.152   10   0   409.358   425.028   
35   304.677   420.542   431.037   432.898   10   0   394.486   422.672   
40   304.477   417.836   430.265   432.714   10   0   392.135   421.932   
45   304.292   415.16   429.531   432.538   10   0   389.809   421.229   
50   304.114   412.514   428.762   432.374   10   0   387.507   420.598   
55   303.941   409.898   428.188   432.208   10   0   385.23   420.051   
60   303.772   407.31   427.606   432.045   10   0   382.977   419.492   
65   303.605   404.75   427.023   431.88   10   0   380.749   418.933   
70   303.438   402.219   426.436   431.716   10   0   378.544   418.374   
75   303.271   399.696   425.864   431.552   10   0   376.344   417.82   
80   303.105   397.221   425.295   431.388   10   0   374.187   417.274   
85   302.941   394.774   424.718   431.224   10   0   372.053   416.723   
90   302.779   392.353   424.134   431.06   10   0   369.943   416.165   
95   302.618   389.96   423.54   430.896   10   0   367.855   415.596   
100   302.458   387.593   422.945   430.732   10   0   365.789   415.028   
105   302.299   385.252   422.35   430.567   10   0   363.746   414.456   
110   302.139   382.937   421.755   430.403   10   0   361.725   413.885   
115   301.979   380.648   421.157   430.239   10   0   359.726   413.311   
120   301.82   378.364   420.564   430.075   10   0   357.73   412.743   
125   301.66   376.126   419.988   429.911   10   0   355.774   412.187   
130   301.502   373.913   419.415   429.747   10   0   353.84   411.636   
135   240.242   372.625   419.187   429.681   12.7627   0.582824   112.598   155.632   
140   286.335   356.215   419.116   429.681   6.88469   1.17571   110.205   160.174   
145   246.262   340.303   415.813   429.673   10.0283   1.55955   107.844   156.536   
150   213.304   327.829   412.289   429.673   17.1368   1.83461   105.959   275.466   
155   404.527   313.924   412.289   429.673   1.46521   2.08532   104.231   153.019   
160   240.394   302.872   412.289   429.673   10.9893   2.35383   102.428   162.361   
165   251.233   291.554   412.289   429.673   9.06792   2.56146   100.41   138.574   
170   208.827   281.415   412.274   429.673   17.0528   2.729   98.8857   158.215   
175   289.74   271.845   411.667   429.673   5.76816   2.92569   97.3526   155.116   
180   232.062   261.776   411.667   429.673   11.1156   3.11218   95.7517   124.38   
185   229.957   251.672   411.667   429.673   11.3678   3.26641   94.0663   164.49   
