t(min)   Tvap(°C)   TckIn(°C)   TckSld(°C)   TckOut(°C)   Mvap(t/h)   Nivel(m)   TspIn(°C)   TspSld(°C)
0   370.98   420.2   420.2   420.2   3   0   420.2   420.2   
5   368.31   419.044   419.97   420.154   3   0   408.788   413.324   
10   368.186   417.839   419.73   420.103   3   0   407.648   413.081   
15   368.072   416.641   419.486   420.052   3   0   406.515   412.846   
20   367.96   415.449   419.248   420   3   0   405.388   412.608   
25   367.853   414.264   419.007   419.949   3   0   404.268   412.374   
30   367.749   413.086   418.769   419.898   3   0   403.154   412.139   
35   367.646   411.915   418.529   419.846   3   0   402.046   411.906   
40   367.543   410.75   418.29   419.794   3   0   400.945   411.671   
45   367.442   409.592   418.051   419.743   3   0   399.849   411.439   
50   303.646   408.441   417.812   419.691   8   0   398.76   411.205   
55   302.117   406.792   416.916   419.516   8   0   391.768   409.241   
60   301.928   405.065   416.429   419.369   8   0   390.181   408.686   
65   301.749   403.352   415.941   419.221   8   0   388.606   408.218   
70   301.578   401.651   415.454   419.073   8   0   387.044   407.749   
75   301.41   399.965   414.965   418.925   8   0   385.493   407.28   
80   301.243   398.291   414.469   418.777   8   0   383.955   406.804   
85   301.079   396.63   413.966   418.629   8   0   382.428   406.32   
90   300.919   394.944   413.454   418.48   8   0   380.871   405.829   
95   300.759   393.309   412.926   418.332   8   0   379.371   405.322   
100   300.602   391.687   412.359   418.183   8   0   377.88   404.778   
105   300.447   390.078   411.796   418.035   8   0   376.399   404.238   
110   300.292   388.482   411.206   417.886   8   0   374.93   403.672   
115   300.135   386.898   410.584   417.738   8   0   373.473   403.076   
120   299.98   385.326   409.967   417.589   8   0   372.026   402.486   
125   299.825   383.767   409.376   417.441   8   0   370.591   401.92   
130   299.669   382.219   408.79   417.292   8   0   369.166   401.358   
135   299.515   380.684   408.203   417.144   8   0   367.753   400.795   
140   407.585   379.161   407.618   416.996   0.641224   0   366.35   400.234   
145   295.548   376.305   407.618   416.996   5.1782   0.361083   113.761   154.795   
150   279.367   361.495   407.604   416.995   5.90539   0.625679   111.336   266.218   
155   416.878   344.88   407.604   416.995   0.0247997   0.854296   108.822   151.78   
160   274.811   330.3   407.604   416.995   6.23706   1.0851   106.73   159.288   
165   266.398   316.364   407.598   416.995   6.63149   1.26884   104.855   157.63   
170   248.529   304.473   406.878   416.991   8.21234   1.41867   102.76   238.063   
175   245.299   293.754   406.878   416.989   8.58411   1.54583   101.083   289.13   
180   239.506   283.618   395.377   416.989   9.15791   1.6572   99.5064   293.553   
185   231.392   273.459   374.074   416.989   10.3846   1.75761   97.9133   283.602   
190   230.525   262.214   356.432   416.987   10.309   1.84366   96.0551   270.017   
195   223.843   252.93   338.296   416.986   11.5265   1.91953   94.4749   257.538   
200   221.988   244.746   320.854   416.986   11.8742   1.99334   93.1818   244.486   
205   215.611   235.603   303.885   416.986   13.1222   2.08245   91.6944   198.336   
210   222.43   227.036   283.111   416.986   11.5648   2.17384   90.0972   178.096   
215   413.176   219.503   278.318   416.986   0.501535   2.34956   88.7562   135.277   
220   404.932   211.821   275.257   416.986   2.44754   2.53954   87.4834   136.372   
225   333.306   204.381   269.122   416.986   2.7636   2.69722   86.0955   136.537   
230   260.773   198.049   264.475   416.986   6.41209   2.84181   84.9917   136.61   
235   305.599   190.73   257.742   416.986   3.74243   2.97247   83.7721   135.212   
240   362.87   184.742   256.536   416.986   1.92213   3.1328   82.5424   134.983   
245   373.923   178.053   255.055   416.986   1.56166   3.28758   81.4935   136.76   
250   313.914   172.782   249.585   416.986   3.28205   3.43385   80.2753   137.347   
255   306.755   167.502   242.912   416.985   3.57168   3.56755   79.2213   135.73   
260   283.71   162.967   237.496   416.985   4.55235   3.69163   78.3889   135.845   
265   260.535   158.406   231.202   416.844   5.87265   3.81329   77.4945   137.051   
270   271.515   154.125   224.869   416.562   5.12438   3.92665   76.6378   134.031   
275   260.781   149.15   218.945   416.269   5.71517   4.03786   75.7573   133.392   
280   260.464   144.983   210.872   415.938   5.71515   4.14436   74.9598   131.438   
285   250.771   141.105   203.983   415.683   6.32668   4.24768   73.9672   130.519   
290   250.512   137.562   194.571   415.44   6.32666   4.34736   73.2405   128.301   
295   241.786   134.007   185.999   415.194   6.96127   4.44411   72.4759   127.049   
300   248.562   130.641   173.657   414.914   6.32666   4.53752   71.7861   124.224   
305   210.298   127.496   165.812   414.553   11.224   4.64829   71.0744   90.4009   
310   260.868   123.94   162.312   414.278   5.20815   4.84751   70.2542   89.2638   
315   259.525   120.49   158.935   413.944   5.18467   5.06285   69.6386   88.1552   
320   257.832   117.799   155.647   413.701   5.18469   5.27793   69.0276   87.0856   
325   255.898   115.161   152.461   413.469   5.1847   5.48904   68.4453   86.0473   
330   241.734   112.689   149.37   413.124   6.1126   5.69976   67.8703   85.041   
335   240.063   110.249   146.373   412.799   6.11261   5.90831   67.3242   84.0652   
