t(min)   Tvap(°C)   TckIn(°C)   TckSld(°C)   TckOut(°C)   Mvap(t/h)   Nivel(m)   TspIn(°C)   TspSld(°C)
0   328.107   370.1   370.1   370.1   3   0   370.1   370.1   
5   326.061   368.89   369.812   370.061   3   0   358.43   365.771   
10   325.965   367.623   369.603   370.019   3   0   357.251   365.534   
15   325.878   366.365   369.414   369.978   3   0   356.079   365.363   
20   325.794   365.117   369.258   369.936   3   0   354.916   365.197   
25   325.713   363.876   369.1   369.894   3   0   353.76   365.049   
30   325.632   362.645   368.954   369.852   3   0   352.613   364.898   
35   325.551   361.422   368.805   369.809   3   0   351.474   364.755   
40   325.471   360.208   368.66   369.767   3   0   350.342   364.609   
45   325.391   359.002   368.515   369.725   3   0   349.219   364.466   
50   325.312   357.805   368.37   369.683   3   0   348.103   364.323   
55   325.233   356.616   368.225   369.641   3   0   346.995   364.179   
60   325.155   355.322   368.079   369.598   3   0   345.788   364.036   
65   325.077   354.151   367.935   369.555   3   0   344.695   363.893   
70   324.999   352.988   367.789   369.513   3   0   343.61   363.751   
75   273.528   352.063   367.654   369.473   8   0   335.973   362.482   
80   273.397   350.341   367.346   369.327   8   0   334.504   362.185   
85   273.268   348.566   367.009   369.195   8   0   332.929   361.858   
90   273.145   346.808   366.664   369.08   8   0   331.371   361.524   
95   273.026   345.069   366.316   368.964   8   0   329.829   361.188   
100   272.909   343.349   365.963   368.853   8   0   328.303   360.847   
105   272.794   341.646   365.609   368.74   8   0   326.792   360.505   
110   272.678   339.961   365.26   368.629   8   0   325.297   360.167   
115   272.565   338.294   364.906   368.517   8   0   323.817   359.825   
120   272.454   336.644   364.502   368.406   8   0   322.353   359.479   
125   272.342   335.012   364.065   368.294   8   0   320.903   359.011   
130   272.233   333.396   363.724   368.182   8   0   319.469   358.682   
135   261.76   331.798   363.386   368.078   5.38034   0.12622   148.907   356.627   
140   278.956   324.296   363.386   368.078   3.89896   1.29521   105.297   355.235   
145   352.716   312.512   361.688   368.078   0.946458   1.97356   103.527   146.172   
150   234.342   300.213   346.526   368.077   6.14918   2.46167   101.676   144.55   
155   234.021   287.976   331.744   368.071   5.8478   2.85915   99.7514   142.731   
160   223.951   276.234   325.473   367.886   6.51758   3.20753   98.1882   142.105   
165   212.214   265.315   320.229   367.599   7.68407   3.50956   96.3072   141.755   
170   202.851   255.543   313.195   367.238   8.88255   3.77943   94.537   140.835   
175   293.789   245.229   312.509   367.236   2.24325   4.06132   92.7696   141.001   
180   355.629   236.06   305.721   367.236   0.489029   4.3428   91.3311   140.04   
185   212.477   227.752   296.661   367.236   6.36955   4.61513   89.7757   138.936   
190   213.864   218.817   289.352   367.236   5.71336   4.86255   88.1986   138.616   
195   189.258   211.809   279.488   367.234   8.44086   5.08826   86.9614   137.301   
200   185.623   205.194   269.236   367.227   8.86537   5.29856   85.8054   135.877   
205   366.959   198.422   263.202   367.223   0.0819718   5.52753   84.5489   133.446   
210   358.674   192.461   253.781   367.223   1.75273   5.79326   83.5191   132.441   
215   211.659   186.609   241.93   367.223   5.05831   6.05005   82.4297   131.299   
220   366.872   180.933   226.82   367.223   0.0938625   6.30206   81.3813   127.569   
225   212.654   175.596   220.424   367.223   5.04718   6.54574   80.3495   100.514   
230   231.781   170.268   214.326   367.223   3.62083   6.77163   79.3679   99.0076   
235   204.426   165.349   208.484   367.223   5.31834   6.98872   78.3566   97.5453   
240   219.104   160.248   202.863   367.223   4.43616   7.19733   77.2306   96.1344   
245   213.674   155.589   197.464   367.223   4.85748   7.39467   76.3152   94.7683   
250   195.921   151.195   192.273   367.223   6.89593   7.58167   75.4406   93.4478   
255   193.299   147.076   187.283   367.223   7.31801   7.75894   74.6047   92.1704   
260   193.896   142.794   182.487   367.223   7.21353   7.92897   73.7369   90.9342   
265   185.348   138.029   177.875   367.223   8.94882   8.09184   72.9479   89.7382   
270   219.455   134.506   173.44   367.223   4.38823   8.24741   71.9886   88.5804   
275   208.217   131.087   169.176   367.223   5.39129   8.40436   71.2746   87.4599   
280   233.604   127.71   165.074   367.223   3.53092   8.55957   70.5424   86.375   
285   212.81   124.563   161.129   367.223   4.96361   8.70849   69.8746   85.3247   
290   212.521   121.392   157.333   367.223   4.96017   8.84838   69.1679   84.3077   
295   195.475   118.452   153.681   367.223   6.99095   8.97823   68.5376   83.3229   
300   197.459   115.547   150.167   367.223   6.98738   9.10852   67.8935   82.3689   
305   366.964   112.904   146.784   367.223   0.072374   9.24141   67.2973   81.4454   
310   366.985   110.684   143.104   367.223   0.0664441   9.43679   66.1793   78.651   
315   367.007   108.296   139.801   367.223   0.0601813   9.61634   65.6312   77.7874   
320   367.007   106.007   136.618   367.223   0.0601642   9.78   65.1057   76.9719   
325   367.03   103.819   133.563   367.223   0.0534104   9.92774   64.5982   76.182   
330   367.054   101.725   130.629   367.223   0.0460146   10.0636   64.1086   75.4174   
335   367.055   99.7213   127.811   367.223   0.0460006   10.1887   63.6362   74.6775   
340   367.081   97.8036   125.103   367.223   0.0377363   10.2953   63.1803   73.9617   
345   367.066   95.9676   122.5   367.223   0.0425624   10.3979   62.7403   73.2686   
350   87.1116   94.2094   119.999   367.223   0.0281925   10.4772   62.3157   72.5978   
355   81.2297   92.5255   117.593   367.185   0.0281849   10.5538   61.9057   71.9485   
360   356.928   90.912   115.281   367.146   0.142647   10.7351   61.51   71.3197   
365   -35809.1   89.366   113.058   351.465   0.14284   11.1233   61.1279   70.7107   
370   -1980.54   87.8841   110.918   326.808   0.139716   11.5122   60.7591   70.1213   
375   -33849   86.4635   108.861   317.45   0.143489   11.902   60.4029   69.5502   
380   -35397.4   85.1014   106.881   313.014   0.143805   12.2926   60.0589   68.9972   
385   -27006.7   83.7949   104.975   309.443   0.372383   12.6841   59.7267   68.4614   
390   -7972.51   82.4246   103.212   300.286   0.372693   13.6966   56.6501   66.5216   
395   -4842.66   81.0212   101.258   286.425   0.340208   14.6984   56.3706   66.034   
400   143.179   79.6799   99.4232   285.85   0.395112   15.4895   56.1027   65.5586   
405   143.179   78.3979   97.6602   285.85   0.395112   15.8871   55.8462   65.1008   
410   143.179   77.1725   95.9654   285.85   0.395112   16.2847   55.6003   64.659   
415   143.179   76.0011   94.3421   285.85   0.395112   16.6823   55.3648   64.2303   
420   143.179   74.8813   92.7811   285.85   0.395112   17.0799   55.1391   63.8167   
425   143.179   73.8105   91.284   285.85   0.395112   17.4775   54.923   63.4159   
430   143.179   72.7867   89.8453   285.85   0.395112   17.8751   54.7159   63.0284   
435   143.179   71.8077   88.4636   285.85   0.395112   18.2727   54.5175   62.6533   
440   143.179   70.8715   87.136   285.85   0.395112   18.6703   54.3274   62.2903   
445   143.179   69.9761   85.8598   285.85   0.395112   19.0679   54.1453   61.939   
450   143.179   69.1197   84.6335   285.85   0.395112   19.4655   53.9709   61.5989   
455   143.179   68.3007   83.4545   285.85   0.395112   19.8631   53.8038   61.2697   
460   143.179   67.8178   83.2244   285.85   0.000174058   19.9427   57.597   -17376.8   
465   143.179   67.3585   79.8435   285.85   0.000174058   19.9429   57.4249   -26867.1   
470   143.179   66.9123   79.8435   285.85   0.000174058   19.943   57.2571   52.236   
475   143.179   66.4788   79.8241   285.85   0.000174058   19.9432   57.0933   52.7267   
480   143.179   66.0576   79.8241   285.85   0.000174058   19.9434   56.9337   54.1974   
485   143.179   65.6482   79.8241   285.85   0.000174058   19.9436   56.778   56.6886   
490   143.179   65.2503   79.8241   285.85   0.000174058   19.9437   56.6261   60.8904   
495   143.179   64.8637   79.8241   285.85   0.000174058   19.9439   56.4779   78.8522   
500   143.179   64.4878   79.8241   285.85   0.000174058   19.9441   56.3334   2.48835   


Pico de vazao de vapor [t/h] = 9.88045
Agua total adicionada [kg] = 538934
Vapor total gerado [kg] = 13315.1
Agua acumulada no leito [kg] = 450640
balanco [kg] = 74978.9
errobalanco [%] = 13.9124

Tempo: 384 s
