t(min)   Tvap(°C)   TckIn(°C)   TckSld(°C)   TckOut(°C)   Mvap(t/h)   Nivel(m)   TspIn(°C)   TspSld(°C)
0   387.808   420.2   420.2   420.2   3   0   420.2   420.2   
5   385.609   418.642   419.833   420.163   3   0   407.669   413.387   
10   385.494   417.009   419.5   420.12   3   0   406.131   413.029   
15   385.385   415.389   419.164   420.078   3   0   404.605   412.72   
20   385.277   413.781   418.861   420.036   3   0   403.091   412.405   
25   385.171   412.186   418.55   419.993   3   0   401.588   412.112   
30   385.066   410.603   418.253   419.951   3   0   400.097   411.812   
35   384.961   409.032   417.951   419.908   3   0   398.616   411.523   
40   384.857   407.473   417.657   419.865   3   0   397.147   411.229   
45   384.753   405.926   417.358   419.822   3   0   395.689   410.941   
50   325.954   404.391   417.064   419.779   8   0   394.242   410.65   
55   323.993   402.185   416.379   419.558   8   0   386.323   408.447   
60   323.754   399.887   415.759   419.394   8   0   384.226   407.85   
65   323.533   397.613   414.967   419.232   8   0   382.15   407.091   
70   323.32   395.334   414.165   419.074   8   0   380.064   406.322   
75   323.111   393.108   413.366   418.916   8   0   378.035   405.556   
80   322.901   390.905   412.585   418.757   8   0   376.023   404.807   
85   322.694   388.726   411.83   418.598   8   0   374.032   404.082   
90   322.489   386.569   411.082   418.44   8   0   372.062   403.365   
95   322.285   384.436   410.344   418.281   8   0   370.112   402.657   
100   322.082   382.324   409.609   418.121   8   0   368.182   401.953   
105   321.88   380.235   408.89   417.962   8   0   366.272   401.263   
110   321.678   378.168   408.193   417.803   8   0   364.382   400.595   
115   321.478   376.123   407.518   417.644   8   0   362.512   399.947   
120   321.28   374.099   406.858   417.484   8   0   360.661   399.314   
125   321.085   372.097   406.215   417.325   8   0   358.829   398.697   
130   320.89   370.086   405.574   417.165   8   0   356.987   398.082   
135   320.695   368.126   404.935   417.006   8   0   355.193   397.469   
140   413.198   366.186   404.298   416.846   0.0432572   0   353.418   396.858   
145   -28746.9   355.396   404.298   416.846   0.0464279   0.787245   108.549   403.792   
150   -33396.3   337.223   404.298   416.846   0.199189   1.31179   105.678   404.278   
155   -32920.5   317.413   404.298   416.846   0.199266   1.70436   102.626   404.275   
160   -28535.8   301.216   404.298   416.846   0.199357   2.01766   100.615   397.975   
165   -23613.3   287.11   404.298   416.846   0.0251077   2.28572   98.2064   403.232   
170   -33631.4   274.07   404.298   416.846   0.199457   2.53421   96.1672   404.263   
175   -22031.9   262.038   404.298   416.846   1.08189   2.75959   94.3536   402.784   
180   -37149   248.268   404.298   416.846   0.0252744   2.96558   92.1517   396.612   
185   -22586.6   237.512   404.298   416.846   1.08201   3.15735   90.4203   404.158   
190   -9144.57   227.355   404.298   416.846   1.08208   3.33696   88.7549   401   
195   -31701.3   215.902   404.298   416.846   1.08215   3.50595   86.9573   404.052   
200   -18285.9   206.111   404.281   416.846   0.260174   3.66602   85.1272   398.147   
205   -24819.2   196.479   404.281   416.846   0.0331325   3.86291   83.386   394.836   
210   -30122.2   188.858   404.281   416.846   0.260273   4.04832   82.039   177.375   
215   -7378.54   181.688   404.012   416.846   0.260382   4.22421   80.7599   169.05   
220   -12309.5   174.837   404.012   416.846   1.40971   4.38142   79.5055   181.591   
225   -12275.1   168.448   397.2   416.846   1.40981   4.54036   78.3428   168.182   
230   -11190   162.082   383.013   403.312   1.4099   4.69335   77.1192   154.255   
235   -25562.5   156.148   369.307   403.312   0.0335858   4.84247   76.0448   150.534   
240   -7464.78   149.517   356.254   403.311   1.40994   4.98334   74.9798   146.94   
245   -11997.3   143.774   344.037   403.311   0.260657   5.1338   73.561   143.361   
250   -22821.2   138.438   332.307   403.311   1.41012   5.28418   72.6836   139.924   
255   -18378.9   132.844   321.034   403.311   0.260856   5.43406   71.5306   136.629   
260   -11693   128.48   310.211   403.311   1.41015   5.57589   70.5326   133.466   
265   -13637.9   124.224   299.827   397.793   0.260875   5.72661   69.6524   130.428   
270   -22252.5   119.759   289.859   397.793   1.41033   5.87798   68.8706   127.511   
275   -18770   116.17   280.293   397.793   0.261072   6.02885   67.9119   124.711   
280   -8272.6   112.914   271.116   397.793   0.448155   6.17148   67.2092   122.021   
285   -11844.1   109.784   262.313   397.793   1.41043   6.2947   66.5152   119.436   
290   -12826.1   106.863   253.87   397.793   0.0341075   6.44446   65.8705   116.954   
295   -10884.4   104.046   245.774   397.793   0.261051   6.58702   65.23   114.567   
300   -11221.2   101.423   238.011   397.793   0.495381   6.73904   64.6376   112.273   
305   -11196.7   98.9382   231.875   397.468   0.460355   6.9118   64.0391   101.498   
310   -9078.79   96.4137   223.172   397.225   2.25882   7.17809   63.4784   99.5158   
315   -12418.7   94.0113   215.195   389.572   0.460663   7.46024   62.8701   97.6036   
320   -21095.8   91.3692   207.612   389.572   0.0593971   7.72692   62.2314   95.7781   
325   -15034.8   89.0197   200.408   389.566   0.512639   7.99432   61.6342   94.0307   
330   -12102.8   86.7702   193.567   389.566   2.4927   8.2792   61.1664   92.3565   
335   -20059.3   84.9474   187.066   389.548   2.49271   8.54774   60.6568   90.7529   
340   -11701.1   83.1791   180.891   389.548   0.165245   8.82953   60.202   89.2157   
345   -7080.46   81.5907   175.021   389.548   0.461164   9.09821   59.8097   87.7426   
350   -14918.6   79.9897   169.442   389.548   2.49284   9.36612   59.3885   86.3301   
355   -7239.4   78.5633   164.138   389.548   2.49303   9.63445   59.0288   84.9757   
360   -5092.06   77.1328   159.094   389.548   2.49302   9.90128   58.6451   83.6768   
365   -13708.6   75.8606   154.296   389.548   0.0599874   10.169   58.316   82.4309   
370   -23435.2   74.6186   149.731   389.548   0.461523   10.4547   57.9791   81.2355   
375   -9979.34   73.481   145.386   389.548   2.09186   10.7283   57.6753   80.0888   
380   -12012.7   72.3788   141.252   388.188   0.513844   10.9964   57.3726   78.9881   
385   -21426.7   71.3498   137.315   388.188   0.0601754   11.2795   57.091   77.9317   
390   -4022.26   70.3624   133.566   388.1   2.10003   11.5487   56.8158   76.9176   
395   -11077.3   69.4295   129.996   388.1   0.161272   11.8324   56.5548   75.9438   
400   -11165.3   68.5389   126.594   388.1   0.461805   12.102   56.3024   75.009   
405   -32157.5   67.6935   123.353   388.1   0.0605091   12.3719   56.0611   74.1109   
410   -6029.53   66.8885   120.263   388.1   0.461965   12.6583   55.8291   73.2483   
415   -3921.8   66.1225   117.318   388.1   0.461847   12.9285   55.6064   72.4198   
420   -10417.4   65.3935   114.509   388.1   0.113399   13.1992   55.3926   71.6236   
425   -18036.6   64.6994   111.83   388.086   2.49375   13.4854   55.1872   70.8585   
430   -5022.98   64.1037   109.406   388.086   0.38253   14.0681   54.8587   68.2209   
435   -7671.67   63.4827   106.707   388.086   0.126339   14.711   54.6802   67.5371   
440   -16191.4   62.9244   104.15   388.085   0.98374   15.3553   54.5086   66.8799   
445   -6746.8   62.3894   101.718   388.085   5.08041   16.0005   54.3467   66.2517   
450   -14669   61.8806   99.4106   388.084   0.984306   16.6402   54.1905   65.6489   
